Colony,BeeID,Pollen,ITS
22,Y3,0.00391,3.83
57,B20,0.00393,4.55
57,B41,0.00494,4.64
57,B38,0.00067,
57,W29,0.00403,5.05
32,R10,0.00531,
32,R4,0.00118,4.22
32,R24,0.02855,3.86
32,R5,0.0374,4.51
41,F39D52010B000000,0.00237,3.78
41,9F9B52010B000000,0.00248,4.16
41,DD9D52010B000000,0.00339,4.14
41,9B9B010B000000,0.01263,4.82
41,298D52010B000000,0.00151,3.68
57,B45,0.0037,3.77
57,B25,0.01579,4.91
57,B52,0.00368,4.28
57,B20,0.0064,4.55
57,B45,0.00065,3.77
57,B31,0.00759,4.86
57,B50,0.00126,4.04
57,B46,0.00835,4.12
43,W45,0.00212,4.85
43,W38,0.00275,4.26
2,O37,0.01374,4.9
2,Y64,0.02074,4.42
2,Y63,0.00763,4.05
58,G9,0.00213,4.36
35,B89C52010B000000,0.00202,4.14
35,608D52010B000000,0.00962,4.85
35,988E52010B000000,0.00124,4.05
35,608D52010B000000,0.01021,4.85
35,348D52010B000000,0.00033,4.44
32,R.W-T,0.00088,4.14
32,O7,0.02512,4.06
32,Y14,0.00759,4.18
41,FA9D52010B000000,0.02282,5.32
41,AB8E52010B000000,0.02215,3.79
57,B91,0.00455,4.03
57,B75,0.01786,3.67
57,B70,0.00494,3.68
57,B24,0.00083,4.36
43,W24,0.0021,4.06
43,W59,0.00247,3.57
2,Y54,0.00323,3.88
57,B94,0.01976,4.32
57,B87,0.00898,4.41
57,B52,0.00125,4.28
57,B70,0.00388,3.68
57,B71,0.01306,3.7
32,O9,0.02023,3.88
58,G12,0.0018,3.96
32,R-WT,0.00409,4.14
32,O58,0.00563,4.36
2,Y63-OB,0.01526,4.03
58,O7,0.00277,
35,918F52010B000000,0.00538,3.68
35,AA8E52010B000000,0.00096,3.99
35,6D8C52010B000000,0.01046,4.69
35,218D52010B000000,0.00774,3.6
35,C28F52010B000000,0.00703,4
35,DB9D52010B000000,0.00221,3.85
41,AC8E52010B000000,0.00045,3.87
41,3B8D52010B000000,0.0064,3.53
41,F59D52010B000000,0.00998,3.62
35,958E52010B000000,0.00938,3.66
35,218D52010B000000,0.01333,3.6
35,C28F52010B000000,0.01356,4
35,AA8E52010B000000,0.00207,3.99
35,508D52010B000000,0.00432,3.99
41,AB8E52010B000000,0.0184,3.79
41,758C52010B000000,0.00406,3.15
41,3B8D52010B000000,0.01063,3.53
41,56AC52010B000000,0.00613,3.38
41,678D52010B000000,0.01073,4.14
41,838E52010B000000,0.0011,2.87
57,B35,0.0062,3.68
57,B58,0.00427,3.07
57,B10-OT,0.02554,4.4
57,B71,0.01421,3.7
57,B75,0.02291,3.67
57,B27-OT,0.0043,3.62
57,B58,0.00475,3.07
57,B49,0.0081,4.02
57,B58,0.00034,3.07
57,B92,0.00072,4.12
57,B10-OT,0.02782,4.4
41,5E8C52010B000000,0.01025,3.65
41,8FAC52010B000000,0.0014,3.12
41,8A8E52010B000000,0.01433,3.21
41,65AC52010B000000,0.00327,3.81
41,FD9D52010B000000,0.0077,4.92
41,798C52010B000000,0.02089,3.19
41,AC8E52010B000000,0.01491,3.87
41,A0AC52010B000000,0.02206,3.51
41,91AC52010B000000,0.00669,3.77
35,C28F52010B000000,0.01602,4
35,998E52010B000000,0.04506,4.57
35,688C52010B000000,0.00455,3.59
35,508D52010B000000,0.01073,3.99
58,G7,0.00338,4.27
58,G55,0.004,3.68
58,G32,0.00586,4.09
32,R43-OT,0.00548,
32,O10,0.0246,4.05
32,O20,0.00345,3.83
32,O68,0.01513,3.56
32,O15,0.00266,4.44
57,B6-OT,0.00256,3.9
57,B10-OT,0.03821,4.4
57,B63-OT,0.00166,3.65
41,648D52010B000000,0.00182,3.42
57,B15-OT,0.01909,4.05
57,B25-OT,0.01352,3.77
57,B60-OT,0.01683,3.47
57,B84-OT,0.01376,3.41
57,B37-OT,0.00251,3.81
57,B64,0.01,3.56
57,B45-OT,0.02791,3.92
57,B33,0.02444,3.89
57,B67-OT,0.00423,3.93
57,B62-OT,0.01123,3.57
57,B25-OT,0.01326,3.77
43,W56,0.00094,3.8
43,W89,0.02355,3.46
43,W87,0.0035,3.64
43,W58,0.00427,3.81
43,W79,0.00247,3.45
43,W89,0.01927,3.46
43,W89,0.0237,3.46
43,W58,0.01375,3.81
57,B81,0.01696,3.39
57,B62-OT,0.02691,3.57
2,Y27,0.01388,3.84
2,Y42,0.00659,4.48
2,Y28,0.01144,3.7
2,Y44,0.00764,3.95
2,Y32,0.0231,3.89
43,W81,0.00477,3.64
2,Y44,0.01855,3.95
2,Y42,0.026,4.48
2,Y63-OB,0.02408,4.03
2,Y42,0.00449,4.48
2,Y32,0.01146,3.89
41,838E52010B000000,0.00153,2.87
35,5F9752010B000000,0.00249,3.34
57,B96-WT,0.00163,2.89
57,B92-WT,0.00344,3.47
58,G52,0.00304,3.65
2,Y98-WT,0.00232,3.66
2,Y45,0.01298,3.55
2,Y8,0.00373,3.84
35,049E52010B000000,0.00256,3.92
2,Y93-WT,0.00508,3.11
2,Y23,0.00255,3.23
58,G52,0.00522,3.65
58,G63,0.00274,3.2
43,W84-GT,0.03234,3.27
2,Y70-WT,0.00642,3.92
2,Y80-WT,0.01062,3.59
2,Y12,0.0037,3.29
57,B83-GT,0.00779,3.26
57,B17-OT,0.00309,3.84
