TreeID,Genus,CommonName,diameter,Location
32607,Quercus,red oak,16,Park Tree
7816,Quercus,pin oak,14,Park Tree
21623,Quercus,red oak,8,Park Tree
17092,Quercus,pin oak,3.9000000950000002,Park Tree
15178,Quercus,red oak,30,Park Tree
28583,Quercus,red oak,24,Park Tree
16023,Quercus,pin oak,5,Park Tree
16740,Quercus,pin oak,8,Park Tree
50115,Quercus,pin oak,11.600000380000001,Park Tree
30934,Quercus,pin oak,18,Park Tree
28579,Quercus,red oak,28,Park Tree
13424,Quercus,red oak,11,Park Tree
32426,Quercus,red oak,16,Park Tree
11629,Quercus,black oak,13,Park Tree
105712,Quercus,swamp white oak,3.5,Park Tree
116907,Quercus,red oak,2,Park Tree
32827,Quercus,red oak,2,Park Tree
16792,Quercus,red oak,16,Park Tree
17090,Quercus,pin oak,4,Park Tree
884,Quercus,red oak,23,Park Tree
8747,Quercus,pin oak,8,Cemetery Tree
14588,Quercus,red oak,12,Cemetery Tree
13067,Quercus,red oak,47,Cemetery Tree
14557,Quercus,post oak,1,Cemetery Tree
13668,Quercus,pin oak,1,Cemetery Tree
8810,Quercus,red oak,26,Cemetery Tree
9826,Quercus,red oak,29,Cemetery Tree
13662,Quercus,red oak,3,Cemetery Tree
8479,Quercus,red oak,47,Cemetery Tree
14571,Quercus,red oak,8,Cemetery Tree
17036,Quercus,red oak,41,Cemetery Tree
9807,Quercus,red oak,21,Cemetery Tree
8790,Quercus,swamp white oak,35,Cemetery Tree
8457,Quercus,swamp white oak,18,Cemetery Tree
14606,Quercus,swamp white oak,8,Cemetery Tree
14595,Quercus,pin oak,16,Cemetery Tree
8494,Quercus,pin oak,34,Cemetery Tree
13673,Quercus,red oak,16,Cemetery Tree
13087,Quercus,pin oak,6,Cemetery Tree
8952,Quercus,black oak,20,Cemetery Tree
