Colony,Nectar
57,2.7e-4
41,3.3e-4
41,3.5e-4
57,6.3e-4
57,0.00155
57,0.00196
57,0.00246
57,0.00297
41,0.00297
57,0.00326
57,0.00333
41,0.00364
57,0.00384
57,0.00398
41,0.004
57,0.005
57,0.00544
57,0.00607
57,0.00628
41,0.0063
57,0.00686
57,0.00708
41,0.00713
57,0.00717
41,0.00781
41,0.00841
41,0.00879
41,0.00936
57,0.01011
57,0.01051
41,0.01063
57,0.01086
57,0.01095
41,0.01172
57,0.01183
57,0.01184
41,0.01208
57,0.01209
57,0.01245
57,0.01257
41,0.01345
41,0.01378
57,0.01401
57,0.01417
41,0.01419
57,0.0147
41,0.01495
57,0.01498
57,0.01546
41,0.01551
57,0.01559
41,0.01566
57,0.01585
57,0.01585
41,0.0164
41,0.01659
57,0.01661
57,0.01674
57,0.01679
41,0.01742
41,0.01752
57,0.01817
41,0.01832
57,0.01849
57,0.01861
57,0.01861
57,0.0188
57,0.01903
57,0.01952
57,0.01963
57,0.01994
41,0.02172
57,0.02209
41,0.0222
57,0.02261
41,0.02271
41,0.0229
41,0.02305
41,0.02331
41,0.02402
41,0.0242
57,0.02437
57,0.02443
41,0.02476
57,0.02489
41,0.02546
57,0.02547
41,0.0255
41,0.02584
57,0.02597
57,0.0263
41,0.02656
57,0.02662
57,0.02687
41,0.02714
41,0.02721
57,0.02734
57,0.02735
57,0.0275
57,0.02759
57,0.02794
57,0.02797
57,0.02834
41,0.02838
41,0.02852
41,0.02856
57,0.02864
41,0.02877
57,0.02877
41,0.02885
41,0.02896
57,0.02931
41,0.02934
57,0.02939
57,0.02962
57,0.02971
57,0.02978
57,0.03011
57,0.03029
41,0.03037
57,0.03061
57,0.03062
57,0.03085
57,0.03088
41,0.03156
57,0.03174
57,0.03232
41,0.03237
57,0.03249
41,0.03284
41,0.03295
57,0.03397
41,0.03405
57,0.03418
57,0.0344
57,0.03493
41,0.03494
57,0.03549
57,0.03575
57,0.03621
57,0.03642
57,0.03673
57,0.0368
57,0.03687
57,0.03726
57,0.03739
57,0.0378
57,0.0379
57,0.03816
57,0.03827
57,0.03853
41,0.03877
57,0.039
41,0.03932
57,0.03968
57,0.03977
41,0.03984
57,0.03998
57,0.04027
41,0.04028
57,0.04076
57,0.0408
57,0.04147
41,0.04174
57,0.04241
41,0.04248
57,0.04251
41,0.04254
57,0.04272
41,0.04294
57,0.04296
41,0.04312
57,0.04318
57,0.04325
57,0.04345
57,0.04352
57,0.04362
57,0.04382
57,0.0442
41,0.04431
57,0.04441
41,0.04465
57,0.04487
41,0.04489
57,0.04491
57,0.04494
57,0.04678
57,0.0474
57,0.04749
41,0.04787
57,0.04873
41,0.049
57,0.04906
57,0.04915
57,0.04975
57,0.04989
41,0.04992
41,0.0501
41,0.05053
57,0.05102
57,0.05278
57,0.05305
57,0.05419
57,0.0547
41,0.05507
41,0.05513
57,0.05542
57,0.05594
57,0.05609
41,0.05623
57,0.05638
57,0.05642
57,0.05645
57,0.05676
41,0.0568
41,0.05681
57,0.05726
57,0.05744
57,0.05779
57,0.05786
57,0.05805
57,0.05868
41,0.05875
57,0.0595
57,0.06039
57,0.06041
57,0.06043
57,0.06043
41,0.06064
57,0.06065
57,0.061
57,0.06118
57,0.06154
57,0.06374
57,0.0642
57,0.06426
57,0.0653
57,0.06682
57,0.07017
57,0.07142
57,0.07486
57,0.07584
41,0.07665
41,0.07919
57,0.08052
57,0.09234
57,0.09249
41,0.09378
57,0.09951
57,0.10714
